AgeGroup,WorldStandardPopulation
0-4 years,12000
5-9 years,10000
10-14 years,9000
15-19 years,9000
20-24 years,8000
25-29 years,8000
30-34 years,6000
35-39 years,6000
40-44 years,6000
45-49 years,6000
50-54 years,5000
55-59 years,4000
60-64 years,4000
65-69 years,3000
70-74 years,2000
75-79 years,1000
80-84 years,500
85plus years,500
